kategori;category;entity;provinsi;province;kabupaten/kota
aksara;script;aksara Lampung;Lampung;Lampung;Kabupaten Lampung Selatan
aksara;script;aksara Sunda;Jawa Barat;West Java;Kabupaten Bandung
aksara;script;aksara Sunda;Jawa Barat;West Java;Kabupaten Bogor
aksara;script;aksara Sunda;Jawa Barat;West Java;Kota Banjar
aksara;script;aksara Sunda;Jawa Barat;West Java;Kota Cimahi
aksara;script;Aksara Sunda;Jawa Barat;West Java;Kota Sukabumi
aksara;script;Aksara Lampung;Lampung;Lampung;Kota Bandar Lampung
aksara;script;Aksara Batak Toba;Sumatera Utara;North Sumatra;Kabupaten Samosir
aksara;script;Aksara Batak Toba;Sumatera Utara;North Sumatra;Kabupaten Tapanuli Selatan
aksara;script;Aksara Batak Toba;Sumatera Utara;North Sumatra;Kabupaten Tapanuli Utara
aksara;script;Aksara Batak Toba;Sumatera Utara;North Sumatra;Kabupaten Toba Samosir
alat musik;musical instrument;Polopalo;Gorontalo;Gorontalo;None
alat musik;musical instrument;Gambusi;Gorontalo;Gorontalo;None
alat musik;musical instrument;Gamelan Banjar;Kalimantan Selatan;South Borneo;None
alat musik;musical instrument;Dambus;Kepulauan Bangka Belitung;Bangka Belitung Islands;None
alat musik;musical instrument;Suling;Kepulauan Bangka Belitung;Bangka Belitung Islands;None
alat musik;musical instrument;Gendang Melayu;Kepulauan Bangka Belitung;Bangka Belitung Islands;None
alat musik;musical instrument;Rebana;Kepulauan Bangka Belitung;Bangka Belitung Islands;None
alat musik;musical instrument;Rudat;Kepulauan Bangka Belitung;Bangka Belitung Islands;None
alat musik;musical instrument;Sekapur Sirih;Kepulauan Bangka Belitung;Bangka Belitung Islands;None
alat musik;musical instrument;Gamelan Gong Kebyar;Bali;Bali;None
alat musik;musical instrument;Tifa;Papua;Papua;None
alat musik;musical instrument;Tifa Jekir;Papua;Papua;None
alat musik;musical instrument;Tifa Dasar;Papua;Papua;None
alat musik;musical instrument;Tifa Potong;Papua;Papua;None
alat musik;musical instrument;Tifa Jekir Potong;Papua;Papua;None
alat musik;musical instrument;Polopalo;Gorontalo;Gorontalo;Kota Gorontalo
alat musik;musical instrument;Gambusi;Gorontalo;Gorontalo;Kota Gorontalo
alat musik;musical instrument;gamelan tabuan kenek;Jawa Timur;East Java;Kabupaten Pamekasan
alat musik;musical instrument;Produk Budaya;Banten;Banten;Kota Cilegon
alat musik;musical instrument;Pengiringnya;Jawa Barat;West Java;Kabupaten Indramayu
alat musik;musical instrument;gong;Jawa Barat;West Java;Kota Bekasi
alat musik;musical instrument;Calung;Jawa Tengah;Central Java;Kabupaten Banyumas
alat musik;musical instrument;Gamelan;Bali;Bali;None
alat musik;musical instrument;Jegog;Bali;Bali;None
alat musik;musical instrument;Genggong;Bali;Bali;None
alat musik;musical instrument;Silat Bali;Bali;Bali;None
alat musik;musical instrument;Geritan;Bengkulu;Bengkulu;None
alat musik;musical instrument;Serambeak;Bengkulu;Bengkulu;None
alat musik;musical instrument;Andei-andei;Bengkulu;Bengkulu;None
alat musik;musical instrument;Sambei;Bengkulu;Bengkulu;None
alat musik;musical instrument;Sensapi;Kalimantan Selatan;South Borneo;None
alat musik;musical instrument;Kacapi;Kalimantan Tengah;Central Kalimantan;None
alat musik;musical instrument;Rebab;Kalimantan Tengah;Central Kalimantan;None
alat musik;musical instrument;Sampe;Kalimantan Tengah;Central Kalimantan;None
alat musik;musical instrument;Berbagai jenis Gong;Kalimantan Tengah;Central Kalimantan;None
alat musik;musical instrument;Kangkanung;Kalimantan Tengah;Central Kalimantan;None
alat musik;musical instrument;Berbagai jenis Kendang;Kalimantan Tengah;Central Kalimantan;None
alat musik;musical instrument;Katambung;Kalimantan Tengah;Central Kalimantan;None
alat musik;musical instrument;Tingkilan;Kalimantan Timur;East Kalimantan;None
alat musik;musical instrument;Kolintang;Sulawesi Utara;North Sulawesi;Kota Tomohon
bahasa;language;Bahasa dialek Pekalongan;Jawa Tengah;Central Java;None
bahasa;language;Bahasa dialek Kedu;Jawa Tengah;Central Java;None
bahasa;language;Bahasa dialek Bagelen;Jawa Tengah;Central Java;None
bahasa;language;Bahasa dialek Semarangan;Jawa Tengah;Central Java;None
bahasa;language;Bahasa dialek Muria;Jawa Tengah;Central Java;None
bahasa;language;Bahasa dialek Blora;Jawa Tengah;Central Java;None
bahasa;language;Bahasa dialek Surakarta;Jawa Tengah;Central Java;None
bahasa;language;Bahasa dialek Banyumasan;Jawa Tengah;Central Java;None
bahasa;language;Bahasa dialek Tegal;Jawa Tengah;Central Java;None
bahasa;language;Bahasa Sunda dialek Timur-Laut;Jawa Tengah;Central Java;None
bahasa;language;Bahasa Sunda dialek Tenggara;Jawa Tengah;Central Java;None
bahasa;language;Bahasa Misah lulus ujian nyaneh kudu;Jawa Tengah;Central Java;None
bahasa;language;Bahasa Iraha nyaneh mangkat  kapan kamu pergi;Jawa Tengah;Central Java;None
bahasa;language;Bahasa Naha nyaneh telat  mengapa ia terlambat;Jawa Tengah;Central Java;None
bahasa;language;Bahasa Melayu Riau;Kepulauan Riau;Riau islands;None
bahasa;language;Bahasa Wemale;Maluku;Maluku;None
bahasa;language;Bahasa Alune;Maluku;Maluku;None
bahasa;language;Bahasa Nuaulu;Maluku;Maluku;None
bahasa;language;Bahasa Atiahu;Maluku;Maluku;None
bahasa;language;Bahasa Koa;Maluku;Maluku;None
bahasa;language;Bahasa Seti dituturkan;Maluku;Maluku;None
bahasa;language;Bahasa Gorom;Maluku;Maluku;None
bahasa;language;Bahasa Tarangan;Maluku;Maluku;None
bahasa;language;Bahasa Makassar;Sulawesi Selatan;South Sulawesi;None
bahasa;language;Bahasa Bugis;Sulawesi Selatan;South Sulawesi;None
bahasa;language;Bahasa Pettae;Sulawesi Selatan;South Sulawesi;None
bahasa;language;Bahasa Toraja;Sulawesi Selatan;South Sulawesi;None
bahasa;language;Bahasa Mandar;Sulawesi Selatan;South Sulawesi;None
bahasa;language;Bahasa Massenrempulu;Sulawesi Selatan;South Sulawesi;None
bahasa;language;Bahasa Konjo;Sulawesi Selatan;South Sulawesi;None
bahasa;language;Bahasa Konjo terbagi menjadi dua;Sulawesi Selatan;South Sulawesi;None
bahasa;language;Bahasa Selayar;Sulawesi Selatan;South Sulawesi;None
bahasa;language;Bahasa Bali;Bali;Bali;None
bahasa;language;Bahasa Jepang;Bali;Bali;None
bahasa;language;Bahasa Gorontalo;Gorontalo;Gorontalo;None
bahasa;language;Bahasa Sunda;Jawa Barat;West Java;None
bahasa;language;bahasa Jawa;Jawa Barat;West Java;None
bahasa;language;Bahasa Jawa;Jawa Tengah;Central Java;None
bahasa;language;Bahasa Sunda;Jawa Tengah;Central Java;None
bahasa;language;Bahasa Tegal;Jawa Tengah;Central Java;None
bahasa;language;Bahasa Jawa Timuran;Jawa Timur;East Java;None
bahasa;language;bahasa Jawa;Jawa Timur;East Java;None
bahasa;language;Bahasa Melayu;Kepulauan Riau;Riau islands;None
bahasa;language;bahasa Arab;Maluku Utara;North Maluku;None
bahasa;language;Bahasa Ambon;Maluku;Maluku;None
bahasa;language;Bahasa Seti;Maluku;Maluku;None
bahasa;language;bahasa Serui;Papua;Papua;None
bahasa;language;bahasa Merauke;Papua;Papua;None
bahasa;language;Bahasa Jawa Cirebon dialek Dermayu;Jawa Barat;West Java;Kabupaten Indramayu
bahasa;language;Bahasa Sunda;Jawa Barat;West Java;Kabupaten Indramayu
bahasa;language;Bahasa Jawa Tegal;Jawa Tengah;Central Java;Kabupaten Brebes
bahasa;language;Bahasa Sunda Brebes;Jawa Tengah;Central Java;Kabupaten Brebes
bahasa;language;Bahasa Jawa Cirebon;Jawa Tengah;Central Java;Kabupaten Brebes
bahasa;language;Bahasa Netral;Jawa Tengah;Central Java;Kabupaten Brebes
bahasa;language;Bahasa Jawa;Jawa Tengah;Central Java;Kabupaten Cilacap
bahasa;language;Bahasa Sunda;Jawa Tengah;Central Java;Kabupaten Cilacap
bahasa;language;Bahasa mengganti Ejaan van Ophuysen;Jawa Tengah;Central Java;Kota Surakarta
bahasa;language;Bahasa Nadai;Kalimantan Barat;West Kalimantan;Kabupaten Sekadau
bahasa;language;Bahasa kikai;Kalimantan Barat;West Kalimantan;Kabupaten Sekadau
